ID,Gender,Birth Date,Education,JobCategory,CurrentSalary,After6Months,SalBegin,Job Time,Prev Exep,Minority,,
3,f,07/26/1929,12,1," 21,450.00 "," 16,725.00 "," 12,000.00 ",98,381,0,,
4,f,04/15/1947,8,1," 21,900.00 "," 17,550.00 "," 13,200.00 ",98,190,0,,
8,f,05-06-1966,12,1," 21,900.00 "," 15,825.00 "," 9,750.00 ",98,0,0,,
9,f,01/23/1946,15,1," 27,900.00 "," 20,325.00 "," 12,750.00 ",98,115,0,,
10,f,02/13/1946,12,1," 24,000.00 "," 18,750.00 "," 13,500.00 ",98,244,0,,
11,f,02-07-1950,16,1," 30,300.00 "," 23,400.00 "," 16,500.00 ",98,143,0,,
14,f,02/26/1949,15,1," 35,100.00 "," 25,950.00 "," 16,800.00 ",98,137,1,,
20,f,01/23/1940,12,1," 26,250.00 "," 18,900.00 "," 11,550.00 ",97,48,0,,
21,f,02/19/1963,16,1," 38,850.00 "," 26,925.00 "," 15,000.00 ",97,17,0,,
23,f,03/15/1965,15,1," 24,000.00 "," 17,550.00 "," 11,100.00 ",97,75,1,,
24,f,03/27/1933,12,1," 16,950.00 "," 12,975.00 "," 9,000.00 ",97,124,1,,
25,f,07-01-1942,15,1," 21,150.00 "," 15,075.00 "," 9,000.00 ",97,171,1,,
36,f,08-07-1963,8,1," 31,350.00 "," 21,300.00 "," 11,250.00 ",96,52,0,,
40,f,08/28/1933,15,1," 19,200.00 "," 14,100.00 "," 9,000.00 ",96,23,1,,
41,f,03/18/1961,12,1," 23,550.00 "," 17,550.00 "," 11,550.00 ",96,52,1,,
46,f,11/18/1940,15,1," 22,350.00 "," 17,550.00 "," 12,750.00 ",95,165,0,,
47,f,04/28/1938,12,1," 30,000.00 "," 23,250.00 "," 16,500.00 ",95,228,0,,
58,f,11/14/1964,15,1," 26,400.00 "," 19,950.00 "," 13,500.00 ",94,3,0,,
72,f,01-07-1964,16,1," 54,000.00 "," 36,000.00 "," 18,000.00 ",93,11,0,,
73,f,02-09-1968,12,1," 26,400.00 "," 18,450.00 "," 10,500.00 ",93,0,0,,
74,f,04/28/1933,15,1," 33,900.00 "," 26,700.00 "," 19,500.00 ",93,192,0,,
75,f,08-12-1965,15,1," 24,150.00 "," 17,850.00 "," 11,550.00 ",93,0,0,,
76,f,09-03-1967,15,1," 29,250.00 "," 20,400.00 "," 11,550.00 ",93,11,0,,
77,f,09-09-1968,12,1," 27,600.00 "," 19,500.00 "," 11,400.00 ",93,6,0,,
78,f,08/20/1968,12,1," 22,950.00 "," 16,725.00 "," 10,500.00 ",93,10,0,,
79,f,01/23/1962,16,1," 34,800.00 "," 24,675.00 "," 14,550.00 ",93,8,0,,
80,f,05/25/1961,16,1," 51,000.00 "," 34,500.00 "," 18,000.00 ",93,22,0,,
